,Número da Página,Texto da Página,Tempo de Processamento (s)
14,15,"HOTEI. SAO GERALDO
T. DE ALMEIDA -— ME
RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000
MOSSORO RN Fone.:8433312628 Fax.:8433312628
C.N.P.J 35.645.019/0001-70 Ins.Estadual:

+t=->>>>0000000022 2222000022 2222222222 22 — > ————-—————

| Nr.da Reserva.: 00010323 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO

| Chegada.......: 20/06/2021 dom Room Night...: 4 Saida.: 24/06/2021 qui

| Nr.do Voucher.: a

| Hospede (s)....: ANDREA BRUNO DE OLIVETFTRA/

|

| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA

| SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA

| Telefone...... z Map: Com Cafe

| Quant. Pessoas.: 1/0 Forma de Pag.: 1 - Hospede Pagina. 01

+-————————— +->=>0>>0>>00>00000 020000000 20>>0 00022 >0>—>—>—>—————>————————— +-———————————————

| Data | Descricao dos Produtos/Servicos Comanda | valor

+>—>———————— +=-=>=>>>00>>0>0000000000200>0 > 002222 >>> ————————— +--——————————————

| |DIARIA |

[20/06/2021 1 DIARIA INTEIRA 00000000 | 100,00

| 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00

MD 06/2027] 1 DIARIA INTEIRA 00000000 | 100,00

[23/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00

+-————————— f====>>0>>0>0>00>00 0000000000 22200020 === ——— +-——>>——0—————————

DIARIA | 400,00

De e e e e e e e a e a a e e e e a e e O e e e e mm e e e a e e em + ———————

GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00
TOTAL GERAL 400,00

RESERVADO

",4.845633029937744
15,16,,0.9194443225860596
16,17,"T. DE ALMEIDA - E
RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000
MOSSORO RN Fone.:8433312628 Fax.:8433312628
C.N.P.yg 35.645.019/0001-70 Ins.Estadual:

Hindi AGbigaaa a rea sn o mmmain al sato e
| Nr.da Reserva.: 00010336 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO
| Chegada.......: 20/06/2021 dom Room Night...: 4 Saida.: 24/06/2021 qui
| Nr.do Voucher.: /
| Hospede (s)....: CARLOS MOTA DOS SANfOS/
|
| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA
I SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA
| Telefone......: Map: Com Cafe
| Quant. Pessoas.: LAO Forma de Pag.: 1 - Hospede Pagina.: 01
+-——-2 2000 — E e E e In im ara jr Si, e a
| Data | Descricao dos Produtos/Servicos Comanda | Val or
+= 2000 — PCA ma im mv ei dum +t-==-— 2.0.2.0... 02 >
| |[DIARIA |
[20/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00
[21/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00
I|2 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00
Aa 1 DIARIA INTEIRA 00000000 | 100,00
+-—>——2 202 — PES Do E mr e a o mei ti a +==——— esse =
DIARIA | 400,00
miar o a CO a me asia gi mena oo iG, cm o pi a E a E
GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00
TOTAL GERAL 400,00

",2.840308904647827
17,18,,1.1841888427734375
18,19,"===s===============================>=>=======>==--->L... + EC AD O E-——o-—
HOTEI. SAO GEKAI.DO w él o.
T. DE ALMEIDA - ME Pias, é
RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000 LM

MOSSORO RN Fone.:8433312628 Fax.:8433312628 dm

C.N.P.J 35.645.019/0001-70 Ins.Estadual: , Ribrica = é

EXTRATO DO APARTAMENTO 00315
Fosse eee so O Ss O e E o q e e e e e a mm +
| Nr.da Reserva.: 00010337 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO

| Chegada.......: 20/06/2021 dom Room Night...: 4 Saida.: 24/06/2021 qui |
| Nr.do Voucher.: Ve |
| Hospede (s)....: JACKSON KLEY ALVES CARDOSO/ I
| |
| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA |
I SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA |
| Telefone...... E Map: Com Cafe I
| Quant. Pessoas.: 1/0 Forma de Pag.: 1 - Hospede Pagina.: O1 |
+-————————— +---2>2—>020 0222022200 2022.2222 2222220002 2222222222 — +-———— 0000 —————— +
| Data | Descricao dos Produtos/Servicos Comanda | valor |
+-————————— +->>>020020 0202022222 2202222220 2222212202. 222222222 —— +>—>>——— 0000000 ——— +
| [DIARIA I |
[20/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
|2 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
| 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
[23/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
+-————————— CP STEAM ST +
DIARIA | 400,00 |

=D>D>0>00>000>20022020 2202202202 2220222222 2222222222 2222222 2222222 == = —— +->>>>———————————+
GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00
TOTAL GERAL 400,00,

/

ED dd DO

RESERVADO

",3.7320563793182373
19,20,,0.9771215915679932
20,21,"/

06:17:32 GerHotel 1.9.50.001
e mamae EO SS STE as cms
HOTEI. SAO SERAI.DO
T. DE ALMEIDA - ME
RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000 .
MOSSORO RN Fone. :8433312628 Fax.:8433312628
C.N.P.yg 35 645 019/0001-70 Ins.Estadual:
EXTRATO DO APARTAMENTO 00312
MEUda SaBGReÃos GOGLGRDE = SEramsanaaao goal al aee O +
| Nr.da Reserva.: 00010335 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO
| Chegada.......: 20/06/2021 dom Room Night...: 4 Saida.: 24/06/2021 qui I
| Nr.do Voucher.: Pá I
| Fospede(s)....: CARLO NAZARIO MAIA/
| I
| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA I
| SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA |
| Telefone......: Map: Com Cafe |
| Quant. Pessoas. 1/0 Forma de Pag.: 1 - Hospede Pagina.: 01 |
Ti e ão ua ces | Besos DD Sscctede semana go e uma o PedO Fes sa a a Se ia +
| Data | Descricao dos Produtos/Servicos Comanda | Valor
+-——-2 0000 — E a ms saga mama Fes lala llll +
I IDIARIA I I
[20/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
[21/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
| 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
Ma] 1 DIARIA INTEIRA 00000000 | 100,00 |
tosse. ta gua são mama ag POOR Fes ma ao E E +
DIARIA | 400,00 |
LIES Câmera e air a ã PA as as e msm ED EE
GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00
TOTAL GERAL 400,00

",3.316443681716919
21,22,,1.117708444595337
22,23,"HOTEL. SAO GERALDO
T. DE ALMEIDA - ME
RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000
MOSSORO RN Fone. :8433312628 Fax.:8433312628
C.N.P.J 35.645.019/0001-70 Ins.Estadual:

eme, co o cu a o cu e e a a mi a a O “1 O O O O 1 O O SD 2 1 O O DD 1 DD 1 2 O O o o DO O O o O o o o o +
| Nr.da Reserva.: 00010328 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO
| Chegada....... : 20/06/2021 dom Room Night...: 4 Saida.: 24/06/2021 qui |
| Nr.do Voucher.: / |
| Hospede(s)....: DAVID BEZERRA COSTA/ |
| |
| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA
| SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA |
| Telefone...... ê Map: Com Cafe I
| Quant. Pessoas.: 1/0 Forma de Pag.: 1 - Hospede Pagina.: 01 |
+-————————— +>>>>>00000020200 0202000020 0222020022 2220222222 22222222 —— +>->>——>——————————— +
| Data | Descricao dos Produtos/Servicos Comanda | valor
+-————————— +->-2000000 2002202002 2202222220 222222222 22222222 = —— +>>————0—0——0——————— +
| |[DIARIA I I
[20/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
[21/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
| 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
|123/06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
+-————————— +-->-——2—22000—002020 2202020220 220022022 22222222 == — ———— +-—>—————0— 00 ——— ——— +
DIARIA | 400,00 |
=[000200000021 0220221202 000 2202222220 2202222222 = —— ——— +>>—>—0—0——————————+
GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00
TOTAL GERAL 400,00
Ed

Emma tpm mare is ser mtrarna o
",3.388331413269043
23,24,,1.032564401626587
24,25,"06:09:08 GerHotel 1.9.50.001/

HOTEL. SAO G

T. DE ALMEIDA

RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000

MOSSORO RN Fone.:8433312628 Fax.:8433312628
C.N.P.J 35.645.019/0001-70 Ins.Estadual:

ciel ss seem SS id DI ni SS a e a E +
| Nr.da Reserva.: 00010320 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO
| Chegada....... : 20/06/2021 dom Room sono os 4 Saida.: 24/06/2021 qui |
| Nr.do Voucher.: A |
| Hospede(s)....: FERNANDO JOSE DE REZENDE/ |
| |
| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA
I SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA I
| Telefone...... Ê Map: Com Cafe |
| Quant. Pessoas.: 1/0 Forma de Pag.: 1 - Hospede Pagina.: 01 |
+--———————— 4+>>D>D>000D=>=-0>>000 0000 >>> 00000000 >—> >= ooo ====== +->—————————————— +
| Data | Descricao dos Produtos/Servicos Comanda | valor
+-————————— pa Er SS data e ee e SS A SS a a ES nie Som SEO SS q cre +--—————————————— +
| |[DIARIA | I
[20/06/2021 1 DIARIA INTEIRA 00000000 | 100,00 |
| /06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00 |
| 06/2021 1 DIARIA INTEIRA 00000000 | 100,00 |
|123/06/2024 | 1 DIARIA INTEIRA 00000000 '| 100,00 |
+=--———————— dm —E DS DE e E E DS mi ES q ap ti am nie ria ie ir óios fais a A +>——>———————————— +
DIARIA | 400,00 |
Emei mi. E E qm SS e 4+>>==————————————+
GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00 ,
TOTAL GERAL 400, A
|
fi a

À

RESERVA

id
Mo mem

",3.485011100769043
25,26,,1.0343313217163086
26,27,"06:07:22 GerHotel 1.9.50.001

ESSES SSSSSDSDSSSsssss=ssssss======222==2===5===5=5=555A==5

HOTEI. SÃO GERALDO
T. DE ALMEIDA - ME
RUA AUGUSTO SEVERO Nº 30 CENTRO 59650000
MOSSORO RN Fone.:8433312628 Fax.:8433312628
C.N.P.J 35.645.019/0001-70 Ins.Estadual:

+ su ue e e e 0 e e e e e — — — — — — — — — — — — — — — —- — — e em um o o em e e e e e a q a a a a a q a e a
| Nr.da Reserva.: 00010318 Padrao/Tipo..: STD/DBL GERALDO CARNEIRO
| Chegada....... : 20/06/2021 dom Room Night...: 4 Saida.: 24/06/2021 qui
| Nr.do Voucher.: Pá
| Hospede (s)....: MARCELO EDUARDO CARVALHO/
|
| Nome Empresa..: 00190-SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA
| SECRETARIA ESPECIAL DE ADMINISTRAÇÃO DA REPUPLICA
| Telefone...... E Map: Com Cafe
| Quant. Pessoas.: 1/0 Forma de Pag.: 1 - Hospede Pagina.: 01
+-————————— [===>>> =>>00 0000000000 2000220 > >>> — === —————— +--——————————————
| Data | Descricao dos Produtos/Servicos Comanda | valor
+-————————— e a ese e e im TS E Si om SS a SS quit +->-—————————————
| |DIARIA |
[20/06/2021 1 DIARIA INTEIRA 00000000 | 100,00
| 2 06/2021 | 1 DIARIA INTEIRA 00000000 | 100,00
| 06/2021 1 DIARIA INTEIRA 00000000 | 100,00
[23/06/2021 1 DIARIA INTEIRA 00000000 | 100,00
+-————————— fe DD iso ms sta as qa ca a e ir qm mi e +->——————————————
DIARIA | 400,00
E end Ss DS qt ie SS a q ci q SST é fc ii + ——————
GERALDO CARNEIRO TOTAL DO EXTRATO 400,00
TAXA SERVICO 0,00
TOTAL GERAL 400,00

RESERVADO;

damn mmermenaams

",3.7331666946411133
27,28,,1.208665132522583
