,Página,Texto Extraído,É uma nota?,Confiabilidade,is_nf_input,Maior valor da nota,Data mais comum
10,10,nan,0,0.9713539239537082,0,0,
11,11,"recebemos de lanchonete tony & thais ltda os produtos/serviços constantes da ng

data de recebimento identificação e assinatura do recebedor

série: 1

danfe controle do fisco

lanchonete tony & thais |documento auxiliar da nota |

ltda o - entrada
1 - saída chave de acesso
3522 0807 3631 2200 0191 5500 1000 0000 2410 9900 0194

o
ay divino salvador, 104 - - planalto paulista, sao nº 000.000.024 consulta de autenticidade no portal nacional da

paulo, sp - cep: 04078010 serie: 1 nf-e www.nfe.fazenda.gov.br/portal ou no site
página 1 de 1 da sefaz autorizadora

natureza da operação protocolo de autorização de uso

venda referente a cupom fiscal 135221108226417 - 17/08/2022 16:43

inscrição estadual inscrição estadual do subst. trib cnpj/cpf
149863244119 07.363.122/0001-91 z”

des natário/remetente

nome/razão social / cnpj/gpf data da emissão
presidençia da republica q 00.394.41 1/0001-08, | 17/08/2022

endereço “wc 4 bairro/distrito cep data de entrada/saída

pc dos tres poderes, sn - palacio do, sn - sra
munícipio fone/fax uf migra 7 hora de entrada/saída
a 5 rs

fatura

cálculo do imposto
base de cálculo do icms valor do icms valor do icms st valor total, 4 produtos
040 — ado 0,0 men eso
valor total da nota

valor do frete valor do seguro desconto outras despesas acessórias valor do ipi
0,00 0,00 0,00
transportador/volumes transportados
razão social frete por conta código antt placa do veículo uf cnpj/cpf ea:
9 - sem frete
endereço município inscrição estadual

dados do produto/serviço

base de cálculo do icms st

lanche frio 21069090 [0102 360,0000 14,0000
maçã 08081000 | 0102 2 jn 180,0000 1,5000

cereal 11041900 10102 2 180,0000 1,5000
agua 22011000 [0102 | 692 ] 180,0000 3.0000
refrigerante 22021000 40102 2 180,0000 4,0000

cálculo do issqn

inscrição municipal

base de calculo do issqn

valor do issqn

dados adicionais

informações complementares reservado ao fisco
nf-e referenciada -
0937 3752 7510

",1,0.9999953907644678,1,"4,00",17/08/2022
12,12,nan,0,0.9713539239537082,0,0,
13,13,"recebemos de lanchonete tony & thais ltda os produtos/serviços constantes da nota i n nf-e

nº 000.000.026

data de recebimento identificação e assinatura do recebedor
serie: |

danfe
lanchonete tony & thais era rem nota
ltda o - entrada [1]

1 - saída

nº 000.000.026
série: 1

página 1 de 1

controle do fisco

3522 0807 3631 2200 0191 5500 1000 0000 2610 9900 0199

consulta de autenticidade no portal nacional da
nf-e www.nfe.fazenda.gov.br/portal ou no site
da sefaz autorizadora

av divino salvador, 104 - - planalto paulista, sao
paulo, sp - cep: 04078010

protocolo de autorização de uso

ureza da operação
v nda referente a cupom fiscal 135221108358163 - 17/08/2022 17:00

grição estadual / inscrição estadual do subst. trib. cnpj/cpf
re ó 07.363.122/0001-91 —

destinatar atario/remetente

nome razão social cpf data da emissão
emo
endereço bairro/distrito cep data de entrada/saída

pc dos tres poderes, sn - palacio do, sn - e
municipio fone/fax uf aqestadual 4 hora de entrada/saída
fr e rd

tw fatura

cálculo do imposto

base de cálculo do icms valor do icms base de cálculo do icms st valor do icms st valor total/dos produtos
0,00 0,00 0,00 7.600,00

valor do frete valor do seguro desconto outras despesas acessórias valor do ipi valor total da nota
0,00 0,00 0,00 0,00 + 7.600,00 |,

transportador/volumes transportados

um sá
razão social frete por conta código antt placa do veículo uf cnpj/cpf
9 - sem frete
o na
o e o er

dados do produto/serviço

descrição do produto/serviço unid. vo | oo | vlr. unit. | vlr. total bc icms vlr. icms vlr. ipi e

lanche frio 21069090 [0102 400,0000 5.600,00

maçã 08081000 | 0102 2 n 200,0000 5 300,00
cereal 11041900 40102 2 jn 200,0000 55 300,00
agua 22011000 [0102 2 200,0000 à 600,00
refrigerante 22021000 [0102 2 200,0000 ) 800,00

cálculo do issqn

inscrição municipal valor total dos serviços

dados adicionais
informações complementares reservado ao fisco
nf-e referenciada - 22 0807 3631 2200 0191 5900 0151 9010

0977 6490 7919

base de calculo do issqn

valor do issqn

",1,0.9944267301150667,1,"800,00",17/08/2022
14,14,"em branco

",0,0.8810788154883631,0,0,
15,15,"e e ie

reservado

09/08/2022 - banco do brasil - 15:53:18
481111065 du) as
09/08/2022 - banco do brasil - 15:53:18
comprovante de pagamentos com cod, barra 481111065 vaso

ebamfsobedts reprimenda rsa era jo do abimitompomfnil. “is js fast. =, à our neo; e] comprovante de pagamentos com cod, barra
convenio gru-guia recolhim, uniao o
codigo de barras 89910000011-8 7/000001010-9 ddtdcctttittsitizicccicciicicicccacoca=aa=a==-===

95523162269-9 40248720055-3 convenio gru-guia recolhim, uniao
data do pagamento 09/08/2022 codigo de barras 89910000011-8 77000001010-9
nro de referencia 20571 95523162269-9  40248720055-3
competencia mm/aaaa 08/2022 data do pagamento 09/08/2022
data de vencimento 19/08/2022 nro de referencia 20571
cnpj 00394411/0001-09 competencia mm/aaaa 08/2022,
valor principal 1.177,00 data de vencimento 19/08/2022
valor em dinheiro 1.177,00 cnpj 00394411/0001-09
valor em cheque 0,00 valor principal 1,177,00
valor total 1.177,00 valor em dinheiro 1,177,00
parem penpespe gu pen |rnetro fen eee ram meti ent à | nim ir indo a ci mad valor em cheque a, 0a
nr, autenticacao 6.671.994,30a,552.e96 valor total 1,177,00)
o nr, autenticacao 6.671,994,30a,552.e96

gerado a partir de http://consulta.tesouro.fazenda.gov.br/gru novosite/gru simples parie2.asp

19/08/2022
00.394.411/0001-09
o
o
a al
ii
o
(=) valor total

89910000011-8 77000001010-9 95523162269-9 40248720055-3

do

dnuoecaeaana nana aenae ooo aee naaaan=--=e nono 0nn nn
é podia faso uadenda dent font = inte

4

|

reservado

ministério da economia

secretaria do tesouro nacional

guia de recolhimento da união - gru

as informações inseridas nessa guia são de exclusiva responsabilidade
do contribuinte, que deverá, em caso de dúvidas, consultar
a unidade favorecida dos recursos.

gru simples
pagamento exclusivo no banco do brasil s.a.
[stn3168733097f48d9e66fecd3desd35783]

",1,0.46534617277483814,0,"7,00",09/08/2022
16,16,nan,0,0.9713539239537082,0,0,
17,17,"lol avado)

visa

| viachente |
getnet | ur robiz is tz | ter» sosa
pestana sao paulo

- 03.422 894/0010.08
sao paulo - sp
aut 208023 term 12605750
( credito 6.688,50 j

via chente | visa e:

getnet | | probezisizm [teremos e

= pestana sao paulo e!
= 09.422.594/0010-08 pr
sao paulo - sp g
aut-205028 term:128057] se

ires te ra na aca aço

credito 6.688,50

io ralis ar drenagem crtoes msime?

reservado

",0,0.9937240783254432,0,"6.688,50",
18,18,nan,0,0.9713539239537082,0,0,
19,19,"número da nota

secretaria municipal da fazenda data e hora de emissão

08/08/2022 10:34:10
nota fiscal eletrônica de serviços - nfs-e
rps nº 111018 série 1, emitido em 07/08/2022

prestador de serviços
cpf/cnpj: 03.422.594/0010-08 inscrição municipal: 5.610.192-9
nome/razão social: brasturinvest investimentos turisticos s/a
endereço: r tutoia 77 - vila mariana - cep: 04007-000
município: são paulo

nome/razão social: não informado /
cpf/cnpj: -- n inscrição municipal: —-

endereço: rua nao informado 01, nao informado - nao informado-.. 4

município: --— up: e-mail: frederico.amorimtbpresidencia.gov.br

intermediário de serviços
cpf/cnpj: -—= nome/razão social: ---=

discriminação dos serviços

hospede: passante presidencia da republica
confirmacao: 56810951

uh: 8562

check in: 04/08/2022 00:00:00

check out: 07/08/2022 00:00:00

item: i55

valor: 318.50

item: diaria

valor: 6370.00

tributos aprox: r$ 1174.5006 = 17.56% (ibpt)

tomador y serviços

valor total do serviço = r$ 6.688,50 |
inss (r$) irrf (r$) csll (r$) cofins (r$) / pis/pasep (r$)

código do serviço
07005 - hospedagem em hotéis e hotelaria marítima.

valor total das deduções (r$) base de cálculo (r$) alíquota (%) valor do iss ars crédito (r$)
0,00 6.688,50 5,00% = 0,00
município da prestação do serviço número inscrição da obra valor aproximado dos tributos / fonte

outras informações
(1) esta nfs-e foi emitida com respaldo na lei nº 14.097/2005; (2) esta nfs-e não gera crédito pois os dados do tomador de
serviço estão incompletos; (3) esta nfs-e substitui o rps nº 111018 série 1, emitido em 07/08/2022; (4) data de vencimento do
iss desta nfs-e: 10/09/2022;

e à
mm
—
mm
em
>
| à
crane
",1,0.9515796702748024,1,"6.688,50",08/08/2022
20,20,"marea 2d
",0,0.9708569034866126,0,0,
21,21,"2: pestana sao paulo

|

e «| via cliente | visa
getnet | 05/08/22 07:42:48 | --""- 9954
*º pestana sao paulo
03.422 594/0010-08

sao paulo - sp
aut 286089 term-12236939

credito 18.102,00

=| via cliente | visa
gelnet| 05/08/22 07:42:45 ca

03.922.594/0010-08
sao paulo - sp
aut:286089 term:12238939

",0,0.9842674332976091,0,"18.102,00",
22,22,"cida ad a a e a a

h 1
torero ra e 3

a cesar

",0,0.98691630318287,0,0,
23,23,"recem, “oeparta a
| 2 %
fra s fis a %
rub 2 |
prefeitura do município de são paulo ""soe x. ss
secretaria municipal da fazenda data e hora de é ' soa ejcsues

nota fiscal eletrônica de serviços - nfs-e código de verificação
. rps nº 111019 série 1, emitido em 07/08/2022 fb5i-agjug

esse um prestador de serviços
cpf/cnpj: inscrição municipal: 5.610.192-9

nome/razão social: brasturinvest investimentos turisticos s/a
endereço: r tutoia 77 - vila mariana - cep: 04007-000
município: são paulo uf: sp

, tomador de serviços

nome/razâp'social: presidencia da republica
cpf/cnpí: /00.394.411/0001-09/ inscrição municipal: -—-
endereço: rua palacio do plánalto o, anexo 3 superior ala a sala 20 - eixo monumental - cep: 70150-900

município: brasília uf:df e-mail: —
intermediário de serviços
cpf/cnpj: -— nome/razão social: --—

discriminação dos serviços

hospede: passante presidencia da republica
confirmacao: 5810951

uh: 8562

check in: 04/08/2022 00:00:00

check out: 07/08/2022 00:00:00

item: iss

valor: 862.00

item: diaria

valor: 17240.00

tributos aprox: r$ 3178.7112 = 17.56% (ibpt)

st
valor total do serviço = r$ 18/102,00 |
inss (r$) irrf (r$) csll (r$) pis/pasep (r$)
código do serviço - . pd e

07005 - hospedagem em hotéis e hotelaria marítima.

cu do e ro
0,00 18.102,00 5,00% 905,10 0,00

município da prestação do serviço número inscrição da obra valor aproximado dos tributos / fonte

outras informações

(1) esta nfs-e foi emitida com respaldo na lei nº 14.097/2005; (2) esta nfs-e substitui o rps nº 111019 série 1, emitido em
07/08/2022; (3) data de vencimento do iss desta nfs-e: 10/09/2022;

",1,0.9901074272432384,1,"905,10",07/08/2022
24,24,nan,0,0.9713539239537082,0,0,
25,25,"nfs-e
102909

iglmnnvzc
o guarulhos - sp

auvanu.nos- lia

o e hora se emissão 08/08/2022 09:29:03 competência n vespas |
número do rps 115429 o. da nfs-e substituída te é

pasto ends! slaviero empreendimentos hoteleiros ltda

nome fantasia

cnpjicpf| 27.216.869/0010-15 | inscrição municipal | 296485 município| guarulhos - sp

endereço e cep | rua rafael balzani ,32 - vila moreira cep: 07020-091

complemento: | teeione: | (11)3017-1000 expediente(ocontfisco.com.br

| razão socj re | secret de adm da presidencia da republica

oe! | 00.394.411/0001-09 e inscrição municipal o |município brasilia - df

re cereço e cep | palacio do planalto anexo 3 sala 202 ,sn - praca dos tres poder cep: 70100-000

complemento: telefone: do ema al: vanerleissopresidencia.gov.br

ersao: 11.1.111.7493  diaria net 13.410,00
trib aprox r$:1.803,65 fed, 0,00 est e 548,47 mun fonte: ibpt/fecomercio sp 39a19d

9.01 / 551080101 - atividades dos hotéis e pousadas combinadas ou não com o serviço de alimentação

13.410,00 natureza operação
ti tsriutação no is aço z

e 13.410,00
ê () sim e não

536,40
- uma via eee nota fiscal será enviada através do e-mail fornecido pelo tomador dos serviços.

a autenticidade desta nota fiscal poderá ser verificada no site, guarulhos.ginfes.com.br com a utilização do código de verificação.

outras retenções
(-) iss retido

",1,0.941174618925082,1,"548,47",08/08/2022
26,26,"reservado

2.4 abastecimento de veículos

não houve abastecimento de veículos nas atividades em tela.

2.5 pedágios e serviços automotivos

não houve despesa com pedágios e serviços automotivos (borracharia e reparos mecânicos) em
favor de veículos da presidência da república.

2.6 serviços aeroportuários

não houve despesas com apoio de solo nas atividades em tela.

2.7 comissaria aérea

na presente missão houve pagamento de comissaria aérea e handling, conforme constante do ofício
nº 1169/2022/cgta/dcev/scp/gsi'pr, de 10 de agosto de 2022 (fl 161), segundo os dados abaixo:
do sq

valor (r$)

estabelecimento

000104832, de
08/08/22

9 |
fornecimento de | ""0008546. de | 169 | pg 52340""

intomationa nica! company! 7 314.329/0005-53] | alimentação e foioabat, de [170 | res) nie /
handling : r$ 827,84 4

168

r$ 5.036,60

| 08/08/22
00008545, de | 17]
08/08/22 r$ 117,30

r$ 6.505,14

é o relatório.

4

brasília, df, 31 de ponto fipeliia.

/
/
/

/ / atesto o fornecjínento de mafériais/prestação dos serviços referentes aos documentos fiscais
citados no presente relatório/e acostádos o ros de pre tação de contas” nº bol 59000544/2022-71,
constantes das fls nº 76; 98; 104; 117; 152; 155; 156; 159; 160; 168: 169; 170 e 171, de acordo com a
portaria 612-sg/pr de 30/12/97 e portaria sa/sg/pr nº 141, de 29/03/2022.

coordenador da viagem

reservado

",0,0.9642533356062936,0,"827,84",29/03/2022
27,27,"hi a
08/03/2022 12:51 usuário: 17.314. resende mis ur eletrônica de serviços - são paulo
dad a ii

e vu

prefeitura do município de são paulo
secretaria municipal da fazenda

nota fiscal eletrônica de serviços - nfs-e
rps nº 7415 série conv, emitido em 08/08/2022

prestador de serviços
cpf/cnpj: 17.314.329/0005-53 inscrição municipal: 3.386.830-1
nome/razão social: international meal company alimentacao s.a.
endereço: aer internacional de congonhas s/n, 1 andar - aeroporto - cep: 04626-911
município: são paulo uf: sp

número da nota
00008545
data e hora de emissão |
03/08/2022 12:50:28
código dé verificação
sdlg-vtya

grupora
catering

tomador de serviços |
mome/razão social: secretaria adm. presidencia da repu |

cpf/cnpj: 00.394.411/0001-09 inscrição municipal: --—-
endereço: praca dos tres poderes s/n - eixo monumental - cep: 70100-000
imunicípio: brasília uf: df e-mail: -——— |
intermediário de serviços |
cpf/cnpj: = nome/razão social: |
a discriminação dos serviços

090010 handling faé “presidã;ncia qtd: 1,000 un preãso: 117,30

à

empesho/conteato 3

ex, jo. 108.48 e

valor total do serviço = r$ 117,30

inss (r$) irrf (r$) csll (r$) pis/pasep (r$) |

código do serviço
07960 - serviços aeroportuários, utilização de aeroporto, movimentação de passageiros, e congêneres.

valor total das deduções (r$) base de cálculo (r$) alíquota (%) valor do iss (r$) crédito (r$) |
0,00 117,30 5,00% 5,86 0,00 |
município da prestação do serviço número inscrição da obra | valor aproximado dos tributos / fonte

outras informações

(1) esta nfs-e foi emitida com respaldo na lei nº 14.097/2005; (2) esta nfs-e substitui o rps nº 7415 série conv, emitido em
(23/08/2022; (3) data de vencimento do iss desta nfs-e: 10/09/2022;

https://nfe.prefeitura.sp.gov. ditcontrfbuinteinotaprint: cc deceduado =sdlgvtya 1/1

reservado,

",1,0.985916818150671,1,"5,86",08/03/2022
